Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,indicator,weight
Hawthorn East,5a Garden St,3.0,h,1790000.0,S,Jellis,2016-01-17 00:09:00,7.5,0.0,3.0,2.0,2.0,0.0,Boroondara City Council,-37.8356,145.0519,Southern Metropolitan,6482.0,1,0.8181818181818181
Hawthorn East,211/96 Camberwell Rd,2.0,u,619000.0,S,hockingstuart,2018-01-17 00:03:00,6.2,0.0,3.5025647105002107,2.6165315414679458,2.0,242.79999999999998,Boroondara City Council,-37.73058454014758,144.88158540644372,Southern Metropolitan,6482.0,1,0.5909090909090908
Oakleigh South,1/30 Mimosa Av,3.0,u,710000.0,SP,Buxton,2016-01-17 00:09:00,14.7,0.0,3.2352325785598466,3.6384015251022546,2.0,235.60000000000002,Kingston City Council,-37.86352403560292,144.99773449539103,South-Eastern Metropolitan,3692.0,1,0.5909090909090908
Hawthorn,4/3 Kooyongkoot Rd,2.0,u,500000.0,VB,Kay,2017-01-22 00:07:00,5.3,0.0,2.0,1.0,1.0,2338.0,Boroondara City Council,-37.83032,145.03898999999998,Southern Metropolitan,11308.0,1,0.8636363636363636
Fitzroy,201 Gore St,6.0,h,2590000.0,S,Nelson,2017-01-22 00:07:00,2.1,0.0,4.063087067427713,5.08282434287723,2.0,799.6000000000001,Yarra City Council,-38.02331018411953,145.07499707116128,Northern Metropolitan,5825.0,1,0.5909090909090908
Parkville,84 Story St,4.0,h,2375000.0,S,Red,2016-01-19 00:11:00,2.6,0.0,4.0,2.0,2.0,182.0,Melbourne City Council,-37.7965,144.9544,Northern Metropolitan,2309.0,1,0.8636363636363636
Pascoe Vale,27 Quick St,4.0,h,975000.0,S,Brad,2016-01-03 00:12:00,9.9,0.0,4.0,1.0,1.0,733.0,Moreland City Council,-37.7194,144.9307,Northern Metropolitan,7485.0,0,0.9545454545454546
Epping,13 Anglers Dr,4.0,h,600000.0,S,Stockdale,2017-01-22 00:07:00,19.6,0.0,4.0,2.0,2.0,499.99999999999994,Whittlesea City Council,-37.62756,145.03364,Northern Metropolitan,10926.0,1,0.8636363636363636
Knoxfield,36 Laura Rd,5.0,h,795000.0,S,Ray,2018-01-17 00:03:00,23.3,0.0,4.833510220998756,3.7500982950301265,2.0,637.6,Knox City Council,-37.958810986447716,144.85813871966783,Eastern Metropolitan,2949.0,1,0.5909090909090908
Watsonia,2/63 Devonshire Rd,2.0,u,604000.0,S,Ray,2017-01-15 00:07:00,14.5,0.0,2.0,1.0,1.0,151.0,Banyule City Council,-37.71298,145.08115,Northern Metropolitan,2329.0,1,0.8636363636363636
